Title	Metadata.Publishers	Metrics.Review Score	Metrics.Used Price	Release.Console	Release.Rating	Release.Year
Super Mario 64 DS	Nintendo	85	24.95	Nintendo DS	E	2004
Lumines: Puzzle Fusion	Ubisoft	89	14.95	Sony PSP	E	2004
WarioWare Touched!	Nintendo	81	22.95	Nintendo DS	E	2004
Hot Shots Golf: Open Tee	Sony	81	12.95	Sony PSP	E	2004
Spider-Man 2	Activision	61	14.95	Nintendo DS	E	2004
The Urbz: Sims in the City	EA	67	12.95	Nintendo DS	M	2004
Ridge Racer	Namco	88	19.95	Sony PSP	E	2004
Metal Gear Ac!d	Konami	75	17.95	Sony PSP	E	2004
Madden NFL 2005	EA	68	8.95	Nintendo DS	T	2004
Pokmon Dash	Nintendo	46	24.95	Nintendo DS	T	2004
Dynasty Warriors		62	14.95	Sony PSP	E	2004
Feel the Magic XY/XX	Sega	75	8.95	Nintendo DS	T	2004
Ridge Racer DS	Namco	63	9.95	Nintendo DS	E	2004
Darkstalkers Chronicle: The Chaos Tower	Capcom	74	14.95	Sony PSP	E	2004
Ape Escape Academy	Sony	51	14.95	Sony PSP	E	2004
Polarium	Nintendo	73	8.95	Nintendo DS	E	2004
Asphalt: Urban GT	Ubisoft	60	14.95	Nintendo DS	E	2004
Zoo Keeper		74	14.95	Nintendo DS	T	2004
Mr. DRILLER: Drill Spirits	Namco	72	14.95	Nintendo DS	T	2004
Sprung	Ubisoft	48	8.95	Nintendo DS	E	2004
Armored Core: Formula Front - Extreme Battle		66	16.95	Sony PSP	E	2004
Puyo Pop Fever	Sega	76	19.95	Nintendo DS	E	2004
Mario Kart DS	Nintendo	91	29.95	Nintendo DS	E	2005
Nintendogs	Nintendo	83	26.95	Nintendo DS	E	2005
Brain Age: Train Your Brain in Minutes a Day!	Nintendo	77	17.95	Nintendo DS	M	2005
Brain Agey: More Training in Minutes a Day!	Nintendo	77	17.95	Nintendo DS	E	2005
Grand Theft Auto: Liberty City Stories	"Capcom,Rockstar"	88	17.95	Sony PSP	E	2005
Animal Crossing: Wild World	Nintendo	86	24.95	Nintendo DS	T	2005
Big Brain Academy	Nintendo	74	16.95	Nintendo DS	E	2005
Call of Duty 2	"Activision,Konami"	89	17.95	X360	E	2005
Midnight Club 3: DUB Edition	Rockstar	74	14.95	Sony PSP	T	2005
Need for Speed: Most Wanted 5-1-0	EA	72	14.95	Sony PSP	M	2005
Pokmon Mystery Dungeon: Blue Rescue Team	Nintendo	62	14.95	Nintendo DS	T	2005
Sonic Rush	Sega	82	14.95	Nintendo DS	E	2005
Star Wars: Battlefront II		69	16.95	Sony PSP	E	2005
SOCOM: U.S. Navy SEALs - Fireteam Bravo	Sony	82	14.95	Sony PSP	E	2005
Need for Speed: Most Wanted	EA	83	17.95	X360	E	2005
Zoo Tycoon DS	THQ	44	12.95	Nintendo DS	T	2005
The Sims 2	EA	70	17.95	Nintendo DS	M	2005
Mario & Luigi: Partners in Time	Nintendo	86	29.95	Nintendo DS	E	2005
Madden NFL 06	EA	75	7.95	Sony PSP	E	2005
